Country,Currently Marries/in union,Never been married,Other
Benin,14,86,0
Burkina Faso,32,68,0
Cameroon,24,74,2
Chad,38,60,2
Comoros,16,80,4
Congo,19,76,5
Côte d'Ivoire,21,78,1
"Congo, the Democratic Republic of the",21,76,3
Ethiopia,19,77,4
Gabon,14,85,1
Gambia,24,76,0
Ghana,6,93,1
Guinea,33,66,1
Kenya,12,87,1
Liberia,14,84,2
Malawi,23,74,3
Mali,43,56,1
Mozambique,37,60,3
Namibia,5,94,1
Nepal,29,71,0
Niger,61,37,2
Nigeria,29,70,1
Senegal,24,75,1
Sierra Leone,19,80,1
Togo,13,87,0
Uganda,20,77,3
Zambia,17,81,2
Zimbabwe,20,77,3
