Country,Currently Married/Union,Never been Married,Other
Benin,61,36,3
Burkina Faso,81,17,2
Cameroon,62,32,6
Chad,78,14,8
Comoros,53,42,5
Congo,53,33,14
Côte d'Ivoire,56,40,4
"Congo, the Democratic Republic of the",60,32,8
Ethiopia,60,32,8
Gabon,44,49,7
Gambia,58,39,3
Ghana,38,58,4
Guinea,68,29,3
Kenya,55,39,6
Liberia,53,41,6
Malawi,76,14,10
Mali,85,14,1
Mozambique,75,15,10
Namibia,20,78,2
Nepal,77,23,0
Niger,91,7,2
Nigeria,65,33,2
Senegal,60,38,2
Sierra Leone,59,38,3
Togo,54,44,2
Uganda,67,24,9
Zambia,56,36,8
Zimbabwe,62,29,9
